ID,District,Name,Address,Contact
50,COIMBATORE,"FIMS HOSPITAL, COIMBATORE TN.","NO.193/145, POLLACHI MAIN ROAD, SUNDARAPURAM, COIMBATORE-641024.",9787099699/9677
51,COIMBATORE,"SRI LAKSHMI HOSPITAL, COIMBATORE TN.","18/121, METTUPALAYAM ROAD, BEHIND INDIAN BANK, THUDIYALUR, COIMBATORE",9842249433
52,COIMBATORE,"SRI BALA MEDICAL CTR RAMANATHAPURAM,COIMBATORE TN.","901, TRICHY ROAD, RAMANATHAPURAM COIMBATORE",9842224624
53,COIMBATORE,"K.J HOSPITAL,KUNIAMUTHUR,COIMBATORE TN.","56 A PALAKKAD MAIN ROAD, KUNIYAMUTHURE, COIMBATORE-08",9025025125
54,COIMBATORE,"SLV HOSPITAL AND CANCER CENTRE, COIMBATORE TN.",PARSN 3 RD GATE,9842271007
55,COIMBATORE,"SREE ABIRAMI HOSPITAL, COIMBATORE TN.","33, MADUKKARAI ROAD, SUNDARAPURAM.",9842272972
56,COIMBATORE,"ROYAL CARE SUPER SPECIALTY HOSPITAL,COIMBATORE TN.","372F, DR. NANJAPPA ROAD, COIMBATORE",0422- 4001000
57,COIMBATORE,"KARPAGAM HOSPITAL MANDAPAM,COIMBATORE TN.",OTHAKKALMANDAPAM,9566760490
58,COIMBATORE,"S.P.T HOSPITAL RAMNAGAR,COIMBATORE TN.","50, VIVEKANANDA ROAD RAM NAGAR COIMBATORE",9842252852
59,COIMBATORE,"KIRUBA HOSPITAL,COIMBATORE TN.",13/82 A&B THADAGAM ROAD VELANDIPALAYAM COIMBATORE,9366631399
60,COIMBATORE,"KOVAI MEDICAL CENTER AND HOSPITAL,COIMBATORE TN.","POST BOX.3209, AVINASHI ROAD, COIMBATORE",9894245451
61,COIMBATORE,"KG HOSPITAL,COIMBATORE TN.",NO.5 GOVT ARTS COLLEGE ROAD RACE COURSE,9842221801
62,COIMBATORE,"G.KUPPUSWAMY NAIDU MEMORIAL HOSP,COIMBATORE TN.","POST BOX NO:6327, NETHAJI ROAD, PAPPANAICKENPALAYAM, COIMBATORE-641037",9600866692
63,COIMBATORE,"RAM POLYCLINIC,COIMBATORE TN.",NO 146/2A NEW SCHEME ROAD POLLACHI,9842269339
64,COIMBATORE,"ARUN HOSPITAL POLLACHI,COIMBATORE TN.","NO,88,NEW SCHEME ROAD,POLLACHI",9364309500
65,COIMBATORE,"PILLS HOSPITAL POLLACHI, COIMBATORE TN.","70/53,BHARATHI ROAD, LIG COLONY-1 MAHALINGAPURAM",8903130744
66,COIMBATORE,"SRI RAMAKRISHNA HOSPITAL,COIMBATORE TN.","395,SAROJINI NAIDU ROAD,COIMBATORE-641044",4224500000
67,COIMBATORE,"N.M.HOSPITAL, COIMBATORE TN.","91,92 RAHUMAN SAIT COLONY, SOWRIPALAYAM PIRIVU, RAMANATHAPURAM-45.",9443390263
68,COIMBATORE,"K.G.M.HOSPITAL,COIMBATORE TN.","1/1, AVINASHI ROAD CHINNIYAMPALAYAM COIMBATORE",9943096666
69,COIMBATORE,"PSG HOSPITALS,COIMBATORE TN.","AVINASHI ROAD, PEELAMEDU, COIMBATORE-641004",9944366616
70,COIMBATORE,"SATHYA MEDICAL CENTER, COIMBATORE TN.","58-63,TATABAD FIRST STREET, SIVANANDHACOLONY, COIMBATORE.",9994499585
71,COIMBATORE,"HINDUSTHAN HOSPITAL,COIMBATORE TN.",UDAYAMPALAYAM ROAD SOWRIPALAYAM POST,9943443333
72,COIMBATORE,"KM HOSPITAL,COIMBATORE TN.","110/14,PALAKKAD ROAD, POLLACHI-1",9842857672
